arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
CPNIAM99.DBF,1999,AM,930,9,242dbaf26abdbc4f2085a5d840726b29,41243,2026-02-27 17:28:50.479451
CPNIAP99.DBF,1999,AP,240,9,56b70d5d1ae04a6e2ccf51cac1d632cd,10883,2026-02-27 17:28:53.098145
CPNIBA99.DBF,1999,BA,6225,9,d192a04e832286ef6cf62dd9c19bf2c0,274223,2026-02-27 17:28:56.731048
CPNICE99.DBF,1999,CE,2760,9,7300848bf57552263a3f53ebd52983aa,121763,2026-02-27 17:28:59.910899
CPNIDF99.DBF,1999,DF,15,9,b2a45059ce13b3e01f6901e7b28fa594,983,2026-02-27 17:29:02.404924
CPNIES99.DBF,1999,ES,1155,9,6df41536115c9344eccaa060de10fe8a,51143,2026-02-27 17:29:05.293325
CPNIGO99.DBF,1999,GO,3630,9,07804733ed376a5c1c956ec33d22313e,160043,2026-02-27 17:29:08.634335
CPNIMA99.DBF,1999,MA,3255,9,7812298ca758012905796286433ce8a2,143543,2026-02-27 17:29:11.785228
CPNIMG99.DBF,1999,MG,12795,9,57e51de3e72ceaf6b59c63e6c2505c09,563303,2026-02-27 17:29:15.575539
CPNIMS99.DBF,1999,MS,1155,9,713d85c05ad5f6610e618a487eb63bd6,51143,2026-02-27 17:29:18.791809
CPNIMT99.DBF,1999,MT,1890,9,6a047aadce0ff223b12262410e65d518,83483,2026-02-27 17:29:21.775443
CPNIPA99.DBF,1999,PA,2145,9,b85d2acc1cbd61b0882dcbfdac8809fb,94703,2026-02-27 17:29:25.02921
CPNIPB99.DBF,1999,PB,3345,9,e1f016d0a3b637ad268f83b1c9f5e550,147503,2026-02-27 17:29:28.73287
CPNIPE99.DBF,1999,PE,2775,9,105901dd5f9c1dcb48dbbe9a7f1fa828,122423,2026-02-27 17:29:32.20164
CPNIPI99.DBF,1999,PI,3315,9,4aac3ccff0669f7d781dd1453afa3eb3,146183,2026-02-27 17:29:35.964896
CPNIPR99.DBF,1999,PR,5985,9,7ab4eba0f570799502d84951d1b01b8f,263663,2026-02-27 17:29:39.492243
CPNIRJ99.DBF,1999,RJ,1365,9,9edf91de4400393f248ab0e2a55905f4,60383,2026-02-27 17:29:42.680382
CPNIRN99.DBF,1999,RN,2490,9,10aaeeb837705a807fb1251221b3d277,109883,2026-02-27 17:29:45.864121
CPNIRO99.DBF,1999,RO,780,9,0c3e2e5fe7b5c07fef7054eac7ddd450,34643,2026-02-27 17:29:48.894329
CPNIRR99.DBF,1999,RR,225,9,0b433d95bb4259159bc35e1197ea34a8,10223,2026-02-27 17:29:51.568339
CPNIRS99.DBF,1999,RS,7005,9,bdf57396411a6ca93bffa07b258eef28,308543,2026-02-27 17:29:55.517375
CPNISC99.DBF,1999,SC,4395,9,9987f79c6e0e4a61774ed7ee65ffbc0c,193703,2026-02-27 17:29:58.898773
CPNISE99.DBF,1999,SE,1125,9,40832565550268efcfb8d546e0e380c5,49823,2026-02-27 17:30:01.785728
CPNISP99.DBF,1999,SP,9675,9,df3ab27c8f6d7052c16b3193960aaa42,426023,2026-02-27 17:30:05.43109
CPNITO99.DBF,1999,TO,2085,9,6b8a0b4be062c661aa7a4b0f5630aa43,92063,2026-02-27 17:30:08.521991
CPNIAC00.DBF,2000,AC,330,9,bc3440cb0fb2a88991c7507a4b598e84,14843,2026-02-27 17:30:17.195067
CPNIAL00.DBF,2000,AL,1522,9,f72fc988d9230b79727255a311446aab,67291,2026-02-27 17:30:20.196625
CPNIAM00.DBF,2000,AM,930,9,57ffd685a6f0a08533d2129bcf07103c,41243,2026-02-27 17:30:23.069755
CPNIAP00.DBF,2000,AP,240,9,4b1062a43ceadd61ff9134def0c4c1af,10883,2026-02-27 17:30:25.693199
CPNIBA00.DBF,2000,BA,6225,9,a08d1ba7f5bd389bcc5c92b1ff28675a,274223,2026-02-27 17:30:29.127519
CPNICE00.DBF,2000,CE,2760,9,050b7ce6d8800b7d3cd062cfc335b7ff,121763,2026-02-27 17:30:32.301186
CPNIDF00.DBF,2000,DF,15,9,db760f433abeb6ba3b9bf4be7b1ddbed,983,2026-02-27 17:30:34.788773
CPNIES00.DBF,2000,ES,1155,9,cff88acb4b5a8a3e41484a612344dd09,51143,2026-02-27 17:30:38.155692
CPNIGO00.DBF,2000,GO,3630,9,08ef5311b868a6de9465eb6fffd306f2,160043,2026-02-27 17:30:41.372675
CPNIMA00.DBF,2000,MA,3255,9,ede866168fa79dd0bdf6103d35f1396b,143543,2026-02-27 17:30:44.54837
CPNIMG00.DBF,2000,MG,12795,9,abee26e29d92db7b3bd91c675426bfd0,563303,2026-02-27 17:30:48.204587
CPNIMS00.DBF,2000,MS,1155,9,2c4073deba4a1650082171405c9a3d52,51143,2026-02-27 17:30:51.439307
CPNIMT00.DBF,2000,MT,1890,9,18ba4ab8266476bdd41cc74d34913840,83483,2026-02-27 17:30:54.457126
CPNIPA00.DBF,2000,PA,2145,9,d9242291cabe254cd9412fb8f99bfa19,94703,2026-02-27 17:30:57.504703
CPNIPB00.DBF,2000,PB,3345,9,3d20b510a0b042678c2deaf652eead0b,147503,2026-02-27 17:31:01.204245
CPNIPE00.DBF,2000,PE,2775,9,27402eabee791738940f6602699918ea,122423,2026-02-27 17:31:04.678012
CPNIPI00.DBF,2000,PI,3315,9,326f4c142d9e0d101e371231c238b186,146183,2026-02-27 17:31:07.721878
CPNIPR00.DBF,2000,PR,5985,9,9773c7fcd940d817a19e2c3c4cc38681,263663,2026-02-27 17:31:11.370767
CPNIRJ00.DBF,2000,RJ,1365,9,6db8d482b09b61480f77c3717391d9d5,60383,2026-02-27 17:31:14.284093
CPNIRN00.DBF,2000,RN,2490,9,d8f9dc165e171327b9f0bc712996df35,109883,2026-02-27 17:31:17.703006
CPNIRO00.DBF,2000,RO,780,9,1c8b9ff42d2e5d2df6e14ef34ba9de01,34643,2026-02-27 17:31:20.449752
CPNIRR00.DBF,2000,RR,225,9,37e8d88d66ed4246b57ffb145674c40e,10223,2026-02-27 17:31:23.078096
CPNIRS00.DBF,2000,RS,7005,9,ecae1c2ad52d6b3e18d60f34ed7858fd,308543,2026-02-27 17:31:26.404681
CPNISC00.DBF,2000,SC,4395,9,164d4b7cb4a2c0a98227ffdfa390687d,193703,2026-02-27 17:31:30.124638
CPNISE00.DBF,2000,SE,1125,9,476179a292e4c6d115ffc816b58fcb53,49823,2026-02-27 17:31:33.060474
CPNISP00.DBF,2000,SP,9675,9,0c13cfe6ee30ad38dd987ade9abe9d96,426023,2026-02-27 17:31:37.029921
CPNITO00.DBF,2000,TO,2085,9,d6d44340e27ac4d39031965104e5da2a,92063,2026-02-27 17:31:40.461728
CPNIAC01.DBF,2001,AC,330,9,1f80fb2b4be196a69bbd4aec380004b9,14843,2026-02-27 17:31:45.120153
CPNIAL01.DBF,2001,AL,1530,9,01eb38724a64b75379acfd8267018bbd,67643,2026-02-27 17:31:47.973931
CPNIAM01.DBF,2001,AM,930,9,4aa1c8b8d954c222c703d4214640e11d,41243,2026-02-27 17:31:50.856238
CPNIAP01.DBF,2001,AP,240,9,4732c7a0e4785214632401901f771be4,10883,2026-02-27 17:31:53.478365
CPNIBA01.DBF,2001,BA,6255,9,754f7017b781a264c20dce591cf0eb01,275543,2026-02-27 17:31:57.133974
CPNICE01.DBF,2001,CE,2760,9,a73182eef01bdc1161c79d8a07b0daa4,121763,2026-02-27 17:32:00.307576
CPNIDF01.DBF,2001,DF,15,9,70ebb0fd3a9e09e9503a8aa65446b1e2,983,2026-02-27 17:32:02.917913
CPNIES01.DBF,2001,ES,1170,9,5eba4de81d48a2af7ca68f63e84cb2bb,51803,2026-02-27 17:32:05.882123
CPNIGO01.DBF,2001,GO,3690,9,ca164bf2d9c43343b74493c081b3d089,162683,2026-02-27 17:32:09.527375
CPNIMA01.DBF,2001,MA,3255,9,ceb3263e315a13cf5733ae1c350b72ae,143543,2026-02-27 17:32:12.784412
