arquivo,etag_servidor,content_length,hash_md5_zip,n_registros,n_partes_json,data_processamento,ano,mes,url_origem,pipeline_version,git_commit
vacinacao_mar_2021_json.zip,"""4ab7edaf4eb4cbcdbbf9f3c67a548e25-251""",4311236064,3b4e53b72c50ad5c46b783aede865ae9,24117836,1,2026-08-24 14:39:23.906412,2021,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2021_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
vacinacao_abr_2021_json.zip,"""b017596bf3eba6b561b54361d3c95e03-342""",5871672954,612b57c046191f7f4df95a5bd4e684ed,32607215,1,2026-08-24 16:49:06.635590,2021,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2021_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
vacinacao_mar_2020_json.zip,"""88ce24cd99e21462de288bd81a36522b-207""",1729763348,bfcebbdbe68a45daa638822ded899c6b,9079188,1,2026-08-31 10:24:02.744183,2020,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_abr_2020_json.zip,"""6a3f762cf59976c5597d9835c0bf4ff1-168""",1403838222,233d76da14ce49ff8efa788b95bae78d,7394057,1,2026-08-31 10:58:42.455305,2020,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_mai_2020_json.zip,"""e9ce65cc576a9be756171e82b1ffec72-223""",1869617482,b16e873f8ed08e3c3f8bd2bf9a52d78e,9853856,1,2026-08-31 11:44:04.242021,2020,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_jun_2020_json.zip,"""607d4fb2a5c2d92a96f8621cb7fbaa5a-124""",1033874610,c42385da31a5cef3931e21dab6fcc37a,5464711,1,2026-08-31 12:09:04.295148,2020,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_jul_2020_json.zip,"""b5a9f2fa523c3b8ed3814a8b3fd9c690-237""",1986794017,9ea85c4a7af692d589ff08be8b12308e,10544745,1,2026-08-31 12:54:05.575278,2020,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_ago_2020_json.zip,"""ba76ef82f9f828eff2da5139bae50b72-211""",1769543963,32df56d34cd8f2e83536c583837f208a,9363344,1,2026-08-31 13:34:09.720667,2020,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_set_2020_json.zip,"""1d024c143d351409130b50d0d3ef3c82-196""",1635978378,dea78b54eedda2ab627acb507ad9ecb5,8680280,1,2026-08-31 14:12:41.673982,2020,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_out_2020_json.zip,"""51be2a6f059ea5129ee4df67fd3aeb24-323""",2706148498,802283f632aa0d67cd952827580207f7,14222317,1,2026-08-31 15:18:57.676119,2020,10,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_out_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_nov_2020_json.zip,"""b50c92f4c8bbaed35bae6aa8e7cac136-185""",1550233169,4ce7a7ffe2467df0e1a01117b63a5b5c,8207207,1,2026-08-31 15:58:49.480239,2020,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_dez_2020_json.zip,"""ed6b468aba0eb4376a1b13f3825d403a-63""",520722351,acbbaab3f60a82cd8a2d2d3b6ae72fce,3112945,1,2026-08-31 16:12:26.009673,2020,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2020_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_mai_2021_json.zip,"""e862d32e3ea1be486d10f113e70124f5-346""",5943644963,10085ffbfe0d7aa18af0ef903b2ae858,31817156,1,2026-08-31 18:28:59.891717,2021,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2021_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
vacinacao_jun_2021_json.zip,"""40b86e8050ece4eef8a186e03f667803-449""",7701196251,58b14cbe619a7a19693499d691f96f71,41781875,1,2026-08-31 21:24:54.475463,2021,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2021_json.zip,1.2.2,a6d0e4cf5203c143783f01d476371b3d82a3281f
